Band1,Band2,Band3,Band4
3.2516478331666665,0.4445026027666667,0.30214523016666667,0.036951921389333335
3.1511485524,0.40549085804,0.29874974556,0.0271033514654
3.0995446922,0.41323361994,0.35150545708000003,0.0902778031262
3.0928600806,0.44315718547999994,0.36818143534000003,0.049740094751999996
2.9737454292,0.40211033512,0.26304951746,0.017878364625
3.00020937,0.42446394101999996,0.30763509386,0.0257567292502
3.0686846115999997,0.41552475874,0.29411033514,0.0368175469364
2.9143310058000003,0.34846394104,0.23128148797999998,0.0084639410416
3.0362612155,0.3836185880333333,0.2768505585666667,0.0224399017375
2.930452641,0.41187836462,0.29528148798,0.025403123354000003
3.1464413406,0.32892788208,0.21420937006000002,0.0119773995426
3.0767949466,0.44269591158,0.30279494646,0.033258887524000004
3.4571598526000002,0.4712927882,0.3392927882,0.0215247587284
3.1130495176,0.4169391823,0.26823197049999997,0.0195247587284
3.0880990352,0.40881754691999994,0.23975672925999997,0.0150495174578
3.1539887,0.42046394100000006,0.27740312335999995,0.0197567292492
3.2109571271666666,0.34401462243333336,0.2029278821,0.004401239982833333
3.2211485524,0.36575672926,0.21822067027999997,0.0131598526046
3.4329278824,0.4669391823,0.32069591154,0.0176350938732
3.3879773995999996,0.47846394104000006,0.32540312334,0.017281487980400002
3.5239886999999994,0.49764639410000006,0.3649391823,0.0242319705202
3.2478670646,0.4252927882,0.28752475872,0.0188175469362
3.2498670646,0.45775672924000005,0.31892788208,0.04069591156
3.3206846114,0.4609278821,0.29903821722,0.021159852608
3.119270188,0.37469591156000004,0.27350215828,0.01785576416992
3.1765464701666666,0.3904785634833334,0.2649717494333333,0.016353161374
3.382562976,0.3945742762,0.24844134057999998,0.02243004035732
3.2610382174000003,0.33563509388,0.21868461132,0.0085629759596
3.1690382172,0.42611033512,0.31128148796,0.015988699771000002
3.2486959116,0.4865855764,0.3565855764,0.0282319705208
3.3211598528,0.4216463941,0.2416463941,0.013646394104199999
3.4279886998,0.364,0.22200000000000003,0.0078783646252
3.474806247,0.34704951744,0.20257427620000001,0.015049517457
3.5610584898333335,0.4656812891,0.31106790665,0.015183891909333334
3.534806247,0.5237567292199999,0.31657427618,0.0057567292496
3.5857454292,0.4709391823,0.2862319705,0.0191711528322
3.6970382174000003,0.50375672924,0.36740312334,0.0244639410404
3.8495134585999997,0.5342319705199999,0.3531711528,0.022463941042000002
3.6525742764,0.5462319704999999,0.3642319705,0.0238783646242
3.4180990352,0.41892788206000003,0.27609903494,0.0135134585026
3.3662206703999997,0.31198869976,0.2200990349,0.0082206702934
3.0985172255,0.4248986371666667,0.27323197051666664,0.0174493185935
3.2831598528,0.41023197050000004,0.28246394104,0.025403123356199996
3.1703423058,0.3712927882,0.2445855764,0.037878364624
3.2925742764,0.3872927882,0.2536463941,0.012939182312399999
3.2505742763999996,0.42329278820000005,0.2869391823,0.022939182312
3.3178670646,0.47729278820000004,0.3456463941,0.0265855764168
2.9970382176,0.32893918229999997,0.2242319705,0.0185855764166
2.8786846113999998,0.33858557642,0.2385855764,0.015524758728400001
3.0026846114000003,0.32199999999999995,0.1716463941,0.029646394104000003
3.0827345736666665,0.4127439901666667,0.2810773235,0.014410656840333333
3.105281488,0.47364639410000003,0.33329278819999997,0.015292788207999999
3.000806247,0.45352475872,0.34752475872,0.021171152832599998
3.102099035,0.42975672924,0.3164526408,0.017623793648
3.2718557642,0.42022067032,0.28501561678,0.005137252148
3.1265629762,0.32892788208,0.23702691702000003,0.028198069837200003
3.2455021584,0.33539182312000004,0.26196609930000003,0.031247587296000003
3.4486846114,0.42669591156,0.28033100546,0.026562975960000002
3.473121191,0.4595026028,0.29919851435,0.022430484879666663
3.6565742761999998,0.4492927882,0.2909391823,0.015524758728400001
