true_qpo,fc,amp,detected,score,Q,amp_mean,fc_std,detection_status
1,0.09998190200364272,0.803052410501609,1,1.3078923869927166,1.428329624670922,0.536428,0.11573921,Detected
1,0.4759108443299143,0.8501700468170843,1,0.44121503829956055,0.0,0.55533516,0.114120126,Detected
1,0.14383589202334368,0.9646068941224333,0,0.4033709466457367,0.0,0.5160275,0.11265656,Failed
1,0.21107807836236347,0.9981951743695168,1,3.874102895521289,29.516913653253035,0.5760769,0.120255105,Detected
1,0.47669782766347224,0.9625749805847035,1,4.584654407646995,58.49481967784577,0.60705894,0.10829378,Detected
1,0.48504054626522863,0.6325044646202755,1,4.124596548741863,38.15484682740989,0.5586178,0.10154544,Detected
1,0.31075888754164804,0.8176234396998976,1,0.4395747110247612,0.0,0.5503761,0.110801406,Detected
1,0.41918040242923416,0.8722533614145951,1,4.387033579769166,47.813845977849326,0.6171466,0.11812703,Detected
1,0.3441352835113109,0.6823591041082597,1,3.3783658497914018,17.3153945667407,0.5782176,0.107593715,Detected
1,0.30215050958783135,0.9503754415612014,1,0.45753729343414307,0.0,0.5673667,0.109829426,Detected
1,0.2594676396549225,0.7944621403277649,1,5.43523148963534,160.58924755971003,0.45366985,0.10349596,Detected
1,0.14239199903701133,0.7714780401172706,1,1.3038949828062765,1.4234750733507269,0.52359515,0.10490266,Detected
1,0.4320160445089282,0.6431138509196828,1,0.4515133649110794,0.0,0.5658401,0.11432676,Detected
1,0.23872299706243008,0.9790929571473744,1,4.599802961344072,61.01518403588602,0.58400834,0.11158463,Detected
1,0.07493366030745302,0.879302938843038,0,0.39499587565660477,0.0,0.5040019,0.10900604,Failed
1,0.43044921674180187,0.9904185085090274,1,3.315301523148606,16.752659474174546,0.5537142,0.11494803,Detected
1,0.385893408504003,0.8983028429733444,1,4.628203822673673,61.57347871372306,0.60081065,0.10894835,Detected
1,0.3540176302589293,0.7298401634949893,1,1.381846555160335,1.359542163788436,0.63623726,0.11285831,Detected
1,0.1613919942509779,0.9223556558231325,1,0.4370562508702278,0.0,0.55107844,0.11402219,Detected
1,0.12485023863634515,0.6690207431812589,1,1.370330717226128,1.8544683533156743,0.44239765,0.12095255,Detected
1,0.4061253243412495,0.6052285856765014,1,0.4618693143129349,0.0,0.57392347,0.112054154,Detected
