epoch,sample_q_score
1,0.2956979313971316
2,-89.72033626713274
3,-34.23880239988254
4,0.0
5,-60.71173199470788
6,0.5028277425873902
7,0.0
8,0.0
9,0.0
10,-17.45866048156367
11,0.0
12,2.330585696419054
13,159.28288634890507
14,0.06501998858318692
15,0.0
16,0.0
17,0.0
18,77.3359596740714
19,4.989733913248789
20,3.337413920570237
21,2.1991531653460674
22,2.1703643385943785
23,2.1827468718998717
24,1.992093928967283
25,2.4667683927634045
26,30.21010275877621
27,2.4784564617021667
28,2.1947719494299682
29,2.3091588109294876
30,2.6225666572151103
31,1.903515339089683
32,1.8656402670940126
33,12.204862581814368
34,1.1209721263557864
35,-2.3117405047750466
36,-129.53495088557835
37,0.9486860114270378
38,0.49573559923602767
39,1.223591792389049
40,1.2341072171436558
41,1.297891166435805
42,1.7604383676562334
43,1.7773266459917916
44,1.8418697137903082
45,1.2579744420129633
46,1.747471359694292
47,1.5014003830076978
48,1.8109604248483073
49,1.9510407151900615
50,1.6815493224378064
51,21.72715339208223
52,2.1754285462356573
53,1.1004906322015882
54,-0.09051449661871275
55,1.0073044638021365
56,1.3093061614137955
57,0.8577923763096611
58,0.8718434568642944
59,1.4928792159231892
60,1.7678218945738542
61,0.6968944745926868
62,1.4243567521004719
63,0.46751283036517355
64,-9.786452399236824
65,1.5565465855855203
66,2.1617845112446705
67,0.24349348477181776
68,-46.910777327714
69,39.82065277826605
70,97.81261741916597
71,185.09319334802916
72,2.693453934766182
73,135.7843694036885
74,2.9449065747594996
75,-24.12221093470792
76,58.843974362616684
77,80.47541810796082
78,1.3111552793971992
79,2.452302945414902
80,2.08673806583029
81,65.83189462117764
82,-27.00773688202462
83,78.0309709312651
84,0.561729977870075
85,182.1616709044051
86,33.40262488417972
87,210.4944130993611
88,2.0404850924139852
89,109.53720705799596
90,86.65702820843067
91,-58.69002004777995
92,-63.396960849329254
93,34.43381531305278
94,1.202624509455521
95,131.48883854830248
96,58.156824140632864
97,15.684280112398524
98,-75.3521840650663
99,61.50753449075025
100,90.85662554791946
