epoch,disc_loss,gen_loss,val_disc_loss,val_gen_loss
0,1.2872967720031738,0.8909986615180969,NA,NA
1,1.2462775707244873,1.0392476320266724,NA,NA
2,1.2994799613952637,0.8537762761116028,NA,NA
3,1.482018232345581,0.7231878042221069,NA,NA
4,1.3768885135650635,0.8000882863998413,NA,NA
5,1.3054304122924805,0.802057683467865,NA,NA
6,0.9906312823295593,1.1707627773284912,NA,NA
7,1.0387508869171143,1.4394843578338623,NA,NA
8,1.4844486713409424,0.7142927050590515,NA,NA
9,1.128455400466919,1.1104673147201538,NA,NA
10,1.3373041152954102,0.8691197633743286,NA,NA
11,3.3767008781433105,1.8285032510757446,NA,NA
12,0.7631075382232666,2.3258280754089355,NA,NA
13,1.1010429859161377,1.1793220043182373,NA,NA
14,1.4831600189208984,0.76618492603302,NA,NA
15,1.3630080223083496,0.8035515546798706,NA,NA
16,1.4821531772613525,0.84675133228302,NA,NA
17,1.3300704956054688,0.8707919120788574,NA,NA
18,1.416722059249878,0.8095244765281677,NA,NA
19,1.372278094291687,0.8208276629447937,NA,NA
20,1.0584431886672974,1.152805209159851,NA,NA
21,1.5201042890548706,0.6993482708930969,NA,NA
22,1.3821361064910889,0.9062920212745667,NA,NA
23,1.376596450805664,0.7883449196815491,NA,NA
24,1.2593555450439453,0.8986306190490723,NA,NA
25,1.4077348709106445,0.7746400237083435,NA,NA
26,1.355570912361145,0.8369944095611572,NA,NA
27,1.375314474105835,0.7989077568054199,NA,NA
28,1.3602280616760254,0.805194079875946,NA,NA
29,1.3923970460891724,0.81227046251297,NA,NA
30,1.3666186332702637,0.807640552520752,NA,NA
31,1.3481354713439941,0.8396601676940918,NA,NA
32,1.410240650177002,0.7981365919113159,NA,NA
33,1.3263990879058838,0.8373526930809021,NA,NA
34,1.3864811658859253,0.8236058950424194,NA,NA
35,1.345592737197876,0.8539519906044006,NA,NA
36,1.393290638923645,0.818916380405426,NA,NA
37,1.2958958148956299,0.9073548316955566,NA,NA
38,1.3805989027023315,0.874176025390625,NA,NA
39,1.2000008821487427,0.914465069770813,NA,NA
40,1.2780301570892334,0.8893066048622131,NA,NA
41,1.2591010332107544,0.9230520725250244,NA,NA
42,1.1950544118881226,0.9949751496315002,NA,NA
43,1.3523701429367065,0.9015566110610962,NA,NA
44,1.442230463027954,0.8621594309806824,NA,NA
45,1.1822584867477417,1.0479384660720825,NA,NA
46,1.3960368633270264,0.8689209222793579,NA,NA
47,1.137972354888916,1.0949807167053223,NA,NA
48,1.3382165431976318,0.8714778423309326,NA,NA
49,1.3367693424224854,0.8576099872589111,NA,NA
50,1.6696898937225342,0.7897541522979736,NA,NA
51,1.269944667816162,0.907855749130249,NA,NA
52,1.224896788597107,0.9329739212989807,NA,NA
53,1.293041706085205,0.9358223080635071,NA,NA
54,1.4584813117980957,0.8868309259414673,NA,NA
55,1.4053493738174438,0.7979286909103394,NA,NA
56,1.3039398193359375,0.8589924573898315,NA,NA
57,1.283024787902832,0.9082822799682617,NA,NA
58,1.4242196083068848,0.7891424894332886,NA,NA
59,1.3099074363708496,0.8791945576667786,NA,NA
60,1.3974062204360962,0.8593870401382446,NA,NA
61,1.3838553428649902,0.8265118598937988,NA,NA
62,1.3451862335205078,0.8318933248519897,NA,NA
63,1.3424921035766602,0.8180707693099976,NA,NA
64,1.3491320610046387,0.8208034634590149,NA,NA
65,1.3406336307525635,0.8465603590011597,NA,NA
66,1.3205169439315796,0.81868577003479,NA,NA
67,1.303917646408081,0.9326754808425903,NA,NA
68,1.2815828323364258,0.8264715671539307,NA,NA
69,1.2046732902526855,0.9819841384887695,NA,NA
70,1.3232232332229614,0.7404648065567017,NA,NA
71,1.4139978885650635,0.8184176683425903,NA,NA
72,1.3810811042785645,0.8166341185569763,NA,NA
73,1.2902394533157349,0.8665832281112671,NA,NA
74,1.3027435541152954,0.9007503390312195,NA,NA
75,1.2417658567428589,0.9154258966445923,NA,NA
76,1.2624105215072632,0.9152791500091553,NA,NA
77,1.4106383323669434,0.8000562191009521,NA,NA
78,1.4756510257720947,0.9225025773048401,NA,NA
79,1.256251335144043,0.8905285596847534,NA,NA
80,1.3802571296691895,0.855339527130127,NA,NA
81,1.284185528755188,0.8376038074493408,NA,NA
82,1.3624670505523682,0.8253114223480225,NA,NA
83,1.4569504261016846,0.9554686546325684,NA,NA
84,1.3505640029907227,0.8669748902320862,NA,NA
85,1.3217240571975708,0.8458877801895142,NA,NA
86,1.3583049774169922,0.8081414103507996,NA,NA
87,1.3522655963897705,0.8388977646827698,NA,NA
88,1.3193442821502686,0.8353320360183716,NA,NA
89,1.3405145406723022,0.8204151391983032,NA,NA
90,1.3694422245025635,0.8467490673065186,NA,NA
91,1.3761543035507202,0.8166124820709229,NA,NA
92,1.3738420009613037,0.7933375835418701,NA,NA
93,1.39552903175354,0.8079788684844971,NA,NA
94,1.3592889308929443,0.8545581102371216,NA,NA
95,1.354805827140808,0.8233642578125,NA,NA
96,1.3494255542755127,0.8083013296127319,NA,NA
97,1.3947389125823975,0.8031738996505737,NA,NA
98,1.3790130615234375,0.7966630458831787,NA,NA
99,1.4051017761230469,0.8202457427978516,NA,NA
